Session_Connection_Time,Bytes Transferred,Kali_Trace_Used,Servers_Corrupted,Pages_Corrupted,Location,WPM_Typing_Speed,hack
12,538.03,1,3.03,8,Afghanistan,71.55,1
13,252.2,1,3.54,8,Australia,67.69,1
9,281.56,1,2.04,9,Saint Kitts and Nevis,71.7,1
14,110.81,0,3.1,8,Jamaica,70.93,1
26,361.16,0,3.62,8,Tajikistan,69.49,1
28,179.55,1,2.4,8,Azerbaijan,70.57,1
17,499.16,1,3.75,6,Moldova,69.75,1
10,273.77,1,2.64,7,Lebanon,71.15,1
21,52.79,0,2.13,7,Equatorial Guinea,69.21,1
19,354.24,0,3.4,6,Turkey,70.26,1
18,635.81,0,3.43,7,Slovenia,74.01,1
12,428.8,1,2.22,7,Congo,72.65,1
30,366.5,1,2.81,8,Brunei Darussalam,71.25,1
8,365.62,0,1.56,7,South Georgia and the South Sandwich Islands,69.22,1
18,373.36,0,3.92,7,Holy See (Vatican City State),72.95,1
24,534.74,1,3.25,8,Iran,72.19,1
8,64.83,0,3.58,8,Saudi Arabia,70.21,1
26,354.77,0,3.26,8,Netherlands Antilles,71.43,1
11,508.87,1,2.56,8,Botswana,71.15,1
14,331.49,1,2.35,9,Zambia,70.23,1
22,404.57,0,1.82,8,Bouvet Island (Bouvetoya),69.74,1
13,518.68,1,2.87,7,Netherlands,72.01,1
22,494.63,1,2.4,8,Belarus,71.02,1
19,104.67,1,1.34,9,Cyprus,70.44,1
22,106.26,1,2.81,8,Netherlands Antilles,69.51,1
13,91.86,1,5.07,8,Yemen,69.43,1
14,257.35,0,2.17,7,Uzbekistan,68.71,1
4,459.64,0,3.09,7,Ecuador,69.27,1
20,651.24,0,1.13,8,Saint Barthelemy,68.84,1
30,23.3,0,3.54,7,Sao Tome and Principe,68.75,1
14,499.13,0,4.6,8,Haiti,72.04,1
18,39.13,0,2,9,Romania,71.28,1
34,320.47,0,3.76,8,Montenegro,70.67,1
4,458.36,0,1.25,8,Czech Republic,70.8,1
22,613.04,1,3.77,8,Niue,71.02,1
21,445.02,1,3.9,8,Saint Pierre and Miquelon,72.83,1
17,623.48,1,3.37,8,Mayotte,71.96,1
19,253.39,0,2.66,8,Saint Vincent and the Grenadines,75,1
27,664.85,1,3.74,7,Kyrgyz Republic,70.24,1
13,84.83,0,2.13,9,South Africa,71.89,1
14,526.84,1,4.14,8,Japan,72.18,1
22,468.35,1,4.11,7,New Zealand,70.28,1
20,271.97,1,3.38,8,United States Virgin Islands,73.17,1
13,449.15,1,3.33,7,Central African Republic,69.41,1
10,256.61,0,4.26,7,Belize,70.09,1
17,504.41,1,3.23,9,Seychelles,72.23,1
17,408.08,0,4.52,8,Sri Lanka,69.52,1
30,251.69,0,3.87,7,United States Minor Outlying Islands,68.24,1
18,345.83,0,5.32,8,Dominican Republic,72.16,1
12,345.41,1,3.53,9,Portugal,69.84,1
26,339.11,0,2.1,7,Trinidad and Tobago,72.09,1
8,857.01,0,1,7,Western Sahara,69.53,1
15,510.61,1,1.61,8,Grenada,70.63,1
11,449.09,0,4.22,7,Saint Lucia,69.09,1
28,336.36,1,3.06,8,Faroe Islands,69.13,1
14,640.86,0,4.1,8,Ethiopia,70.01,1
20,429.64,0,2.47,8,Sweden,71.75,1
22,348.41,0,2.3,9,Uruguay,68.37,1
8,752.49,0,4.11,9,Tokelau,70.41,1
12,517.46,1,3.24,7,Tanzania,74.17,1
25,456.28,1,4.07,8,Serbia,71.51,1
18,200.83,0,4.66,8,Ukraine,70.56,1
13,379.95,1,1.44,8,Turks and Caicos Islands,69.61,1
18,512.83,1,3.31,9,Slovakia (Slovak Republic),71,1
32,340.49,1,3.82,8,Switzerland,70.86,1
18,118.03,1,3.21,7,Australia,73.79,1
15,447.83,0,2.6,8,United States Virgin Islands,71.24,1
8,372.05,0,3.13,8,Antigua and Barbuda,69.18,1
6,370.45,1,2.72,8,Philippines,68.33,1
7,178.56,0,4.18,8,Sweden,72.42,1
14,366.49,0,2.56,9,China,70.16,1
10,401.85,0,3.93,8,New Caledonia,68.73,1
13,485.85,0,5.25,8,Luxembourg,69.13,1
19,868.5,1,3.7,8,Malawi,73.46,1
6,567.16,1,5.05,8,Hungary,69.04,1
18,419.12,0,4.11,8,Palestinian Territory,70.98,1
20,288.32,1,2.71,8,Greece,70.31,1
15,422.47,1,3.01,8,Benin,71.3,1
15,548.83,1,3.78,7,Bahamas,68.53,1
24,334.41,0,4.27,7,Ethiopia,69.94,1
16,300.7,0,2.94,8,Kyrgyz Republic,69.47,1
17,334.8,1,2.51,8,Netherlands,73.38,1
5,378.46,1,5.17,8,Samoa,72.32,1
15,392.11,0,4.54,8,Kuwait,67.32,1
31,600.84,1,4.52,8,Austria,70.63,1
27,474.87,0,2.12,7,Saint Barthelemy,69.44,1
19,724.8,0,2.82,8,Turkmenistan,71.72,1
27,171.73,1,2.07,8,Bouvet Island (Bouvetoya),70.97,1
18,374.74,1,4.92,7,Denmark,69.45,1
16,725.51,0,2.07,8,Kenya,70.57,1
12,75.53,0,3.73,8,Wallis and Futuna,69.77,1
21,202.83,1,2.6,8,Bhutan,67.95,1
34,392.47,0,2.31,8,Reunion,72.16,1
23,499.24,1,3.76,8,Cook Islands,72.45,1
21,701.52,0,2.95,8,Saint Lucia,68.92,1
11,125.69,1,2.33,7,Ukraine,69.3,1
13,218.71,0,3.2,7,Niue,67.31,1
22,623.58,1,3.53,7,Morocco,70.59,1
12,393.84,1,2.57,7,Cook Islands,72.17,1
19,449.53,1,4.93,7,Lao People's Democratic Republic,69.79,1
17,602.46,1,4.87,9,Sudan,70.26,1
17,272.34,0,3.83,9,Norway,70.07,1
18,181.78,0,2.76,9,Cambodia,72.51,1
21,434.82,1,2.43,8,Thailand,72.04,1
46,479.77,1,7.58,14,Liechtenstein,45.91,0
35,871.76,1,7.38,15,Mauritania,45.08,0
42,797.74,0,7.58,14,Russian Federation,46.24,0
36,793.45,0,7.18,13,Macedonia,45.9,0
41,832.71,1,9.22,14,Belize,42.43,0
41,766.67,0,6.73,14,Svalbard & Jan Mayen Islands,44.71,0
47,592.93,1,6.65,13,United States Virgin Islands,47.15,0
37,841.34,0,5.9,13,Isle of Man,45.57,0
38,984.63,1,6.88,14,Zimbabwe,43.34,0
27,874.26,0,7.05,14,Anguilla,45.72,0
51,1051.27,0,8.12,15,Netherlands Antilles,46.47,0
30,460.6,0,7.15,14,French Southern Territories,45.57,0
37,779.05,1,7.46,13,Hong Kong,43.64,0
42,869.04,0,6.45,15,Saint Helena,41.27,0
49,905.5,1,8.3,13,Iran,43.33,0
48,718.61,1,6.36,13,Tuvalu,41.85,0
39,1021.2,0,9.09,14,Montserrat,43.85,0
50,855.74,1,7.39,14,Costa Rica,43.72,0
45,1057.61,0,7.54,14,Malawi,44.28,0
46,765.98,1,8.5,14,Micronesia,43.58,0
35,717.42,0,5.08,14,Brunei Darussalam,46.92,0
40,774.59,0,6.94,14,Tunisia,43.36,0
31,905.1,0,6.27,15,Libyan Arab Jamahiriya,45.33,0
48,957.19,1,6.95,13,Guyana,43.43,0
32,563.64,0,7.13,13,Cameroon,45.99,0
39,852.69,1,7.9,14,Trinidad and Tobago,45.7,0
53,992.47,1,7.88,14,Nicaragua,43.3,0
29,1273.04,0,6.67,14,Slovakia (Slovak Republic),44.36,0
42,921.8,0,7.72,13,Ethiopia,46.14,0
51,904.86,1,8.35,14,Bulgaria,43.25,0
37,634.7,1,7.4,14,Ecuador,44.25,0
36,831.48,1,6.49,14,Trinidad and Tobago,44.67,0
38,574.09,1,8.1,14,Mauritania,43.34,0
30,797.62,0,7.55,13,India,42.08,0
28,716.01,1,8.86,14,Estonia,44.46,0
39,485.16,0,7.84,14,Grenada,42.35,0
51,737.22,1,7.74,14,Armenia,45.02,0
46,925.89,1,8.51,14,Antigua and Barbuda,44.34,0
60,836.68,1,7.45,13,Comoros,41.41,0
48,844.2,1,8.08,14,Lithuania,45.93,0
42,805.38,0,6.72,13,Congo,40.57,0
52,669.21,1,7.35,13,Bangladesh,46.26,0
33,1019.94,0,6.46,14,Isle of Man,45.45,0
51,1243.86,0,6.26,14,Antigua and Barbuda,44.78,0
45,846.68,0,9.98,15,French Southern Territories,42.24,0
36,1056.69,1,6.11,14,United States Minor Outlying Islands,42.48,0
48,934.01,1,7.97,14,United States Minor Outlying Islands,44.58,0
52,660.79,1,8.08,13,Venezuela,44.67,0
36,555.32,0,6.59,14,Grenada,44.3,0
47,664.28,1,5.92,14,Switzerland,42.75,0
37,828.68,0,6.63,14,Saint Martin,42.27,0
37,855.17,1,8.68,14,Indonesia,45,0
46,640.06,0,6.89,14,Cocos (Keeling) Islands,44.48,0
39,596.69,0,8.73,14,Gabon,42.1,0
48,776.02,1,8.63,14,Palestinian Territory,44.58,0
36,821.21,0,6.35,14,Saint Pierre and Miquelon,48.6,0
35,828.09,1,7.14,15,Martinique,45.25,0
40,874.47,0,7.83,14,Russian Federation,45.02,0
55,686.47,1,7.5,13,Syrian Arab Republic,43.12,0
49,1019.63,0,7.65,13,Jordan,44.36,0
45,805.67,1,6.71,15,Madagascar,40.74,0
42,972.14,1,7.04,14,Northern Mariana Islands,44.24,0
44,1045.32,0,7.03,14,Guinea-Bissau,44.22,0
43,780.66,0,7.16,14,Burkina Faso,44.06,0
46,783.48,1,7.82,14,British Virgin Islands,43.09,0
36,594.29,0,7.14,15,Falkland Islands (Malvinas),43.2,0
38,959.81,1,7.84,13,China,41.54,0
40,413.92,1,6.93,15,Netherlands,40.76,0
48,1040.38,0,7.17,15,Reunion,42.33,0
47,814.26,1,7.16,13,Philippines,42.76,0
28,887.3,0,7.49,12,Northern Mariana Islands,43.35,0
49,1081.16,0,5.73,14,Burkina Faso,45.49,0
39,861.74,1,6.82,14,United Kingdom,41.61,0
42,717.05,1,7.6,13,Korea,44.96,0
43,952.19,1,7.06,13,Sudan,44.15,0
37,581.9,0,6.44,14,Guinea-Bissau,44.28,0
40,930.52,0,8.47,13,Uzbekistan,42.65,0
35,669.51,0,7.12,14,Kiribati,45.94,0
31,844.64,1,7.48,14,Timor-Leste,41.86,0
43,859.48,1,7.02,14,Costa Rica,46,0
41,752.95,0,9.37,14,Heard Island and McDonald Islands,46.52,0
49,965.09,0,8.19,13,Saint Kitts and Nevis,47.08,0
49,704.64,0,7.96,14,Benin,45.34,0
44,948.6,1,7.89,14,United Arab Emirates,44.01,0
45,1077.69,1,8.33,13,Norway,44.83,0
43,881.46,0,7.64,14,Czech Republic,43.79,0
38,916.41,1,8.13,13,Malaysia,43.81,0
33,589.62,1,7.52,13,Saint Helena,44.11,0
41,808.67,1,7.41,14,Georgia,45.21,0
46,757.14,1,6.09,14,Oman,40.77,0
57,898.29,1,5.95,14,Netherlands,41.15,0
46,921.99,0,9.74,14,Singapore,40,0
52,957.47,1,6.37,14,Taiwan,41.04,0
50,535.88,0,7.16,14,Grenada,42.39,0
35,1018.53,1,7.75,14,Cyprus,45.79,0
40,842.59,1,6.41,14,Bahamas,43.32,0
34,878.07,0,7.65,15,Cook Islands,42.87,0
44,946.83,0,8.27,13,Egypt,44.39,0
45,1081.75,1,5.66,13,Macao,44.69,0
52,970.78,1,6.97,13,Cape Verde,42.84,0
31,823.61,0,7.35,14,Sri Lanka,47,0
47,853.6,0,7.4,15,British Indian Ocean Territory (Chagos Archipelago),47.16,0
55,595.19,0,8.04,14,Western Sahara,45.14,0
40,816.29,1,8.71,13,Syrian Arab Republic,44.36,0
40,1024.68,1,8.29,15,Czech Republic,46.24,0
45,921.05,0,5.82,13,Togo,43.01,0
42,500.49,0,8.21,12,Sweden,43.7,0
42,978.74,1,8.43,14,French Polynesia,45.45,0
45,756.64,0,8.12,13,Iraq,42.95,0
50,1105.8,1,6.69,14,Moldova,45.61,0
52,749.56,1,7.2,14,Dominican Republic,44.04,0
31,962.5,1,6.54,14,Czech Republic,44.5,0
41,871.18,1,6.89,14,Christmas Island,45.88,0
55,804.37,1,10,13,Cuba,43.74,0
33,916.74,1,6.96,14,Pitcairn Islands,42.5,0
38,546.22,1,7.72,14,Ukraine,40.58,0
45,952.8,1,7.4,14,Switzerland,46.02,0
42,603,0,6.51,13,Greece,42.04,0
33,709.34,1,7.42,14,Burundi,42.49,0
38,407.63,0,7.68,14,Palau,48.11,0
40,920.82,1,8.52,14,Macao,47.97,0
43,712.2,1,7.5,13,Papua New Guinea,41.72,0
56,1190.87,0,5.77,14,Reunion,45.16,0
47,897.11,0,8.33,15,Rwanda,45.4,0
32,799.24,1,7.19,14,Svalbard & Jan Mayen Islands,44.41,0
43,663.74,1,7.45,13,Liechtenstein,46.76,0
38,840.81,0,6.35,13,Niger,44.32,0
55,970.68,0,7.93,15,Haiti,43.68,0
27,844.01,0,7.73,13,Tuvalu,45.89,0
47,540.31,0,7.78,13,Colombia,43.95,0
46,1046.05,0,6.86,15,Azerbaijan,42.75,0
44,675.72,0,7.8,14,Latvia,43.04,0
43,837.58,0,6.29,14,Saint Barthelemy,44.69,0
49,1330.5,1,7.96,13,Andorra,42.56,0
40,993.62,0,7.03,14,Australia,43.46,0
49,847.11,0,9.03,13,Antarctica (the territory South of 60 deg S),42.11,0
48,1114.98,1,6.74,14,Trinidad and Tobago,43.92,0
52,800.64,0,6.1,14,United States Virgin Islands,43.45,0
39,866.95,0,6.82,14,Paraguay,44.12,0
33,1129.19,1,6.77,14,Mauritania,44.34,0
37,832.2,1,7.75,15,Libyan Arab Jamahiriya,42.24,0
52,942.14,1,6.95,14,Myanmar,45.78,0
37,1053.76,1,7.34,14,Indonesia,41.59,0
48,870.01,1,7.61,14,Antigua and Barbuda,44.98,0
35,699.3,1,7.51,14,Saint Kitts and Nevis,45.4,0
44,881.73,1,7.05,15,Reunion,43.8,0
51,723.94,1,6.34,13,Paraguay,44.27,0
41,760.15,0,7.63,14,Equatorial Guinea,41.8,0
44,957.05,1,6.38,13,United Arab Emirates,42.17,0
41,944.84,1,7.79,14,Belgium,41.73,0
33,834.11,0,5.79,14,Jamaica,44.96,0
41,706.51,0,7.61,14,French Southern Territories,44.58,0
44,749.63,0,7.26,14,Germany,42.6,0
42,1056.32,0,7.98,14,Nauru,43.92,0
45,584.73,1,6.56,15,Ukraine,41.72,0
39,830.06,0,7.5,14,Guernsey,42.7,0
44,794.9,1,6.27,14,Zimbabwe,43.39,0
52,951.14,0,8.66,14,Bulgaria,47.74,0
43,1039.8,1,7.08,13,Iraq,44.98,0
39,833.94,0,7.52,14,Svalbard & Jan Mayen Islands,46.68,0
50,842.78,0,6.62,15,United States Virgin Islands,44.69,0
37,746.81,0,7.93,14,Guinea-Bissau,43.12,0
39,761.91,1,6.99,14,Belarus,43.23,0
43,983.48,0,8.6,13,British Indian Ocean Territory (Chagos Archipelago),43.21,0
39,690.22,1,6.8,13,Guinea-Bissau,42.75,0
36,1060.69,1,6.26,14,Canada,43.86,0
42,729.47,0,7.95,14,Tuvalu,45.27,0
20,720.99,0,3.04,9,British Virgin Islands,69.08,1
31,356.32,1,3.71,8,Tokelau,70.58,1
2,228.08,1,2.48,8,Bolivia,70.8,1
20,408.5,0,3.57,8,Iraq,71.28,1
1,390.69,1,2.79,9,Marshall Islands,71.57,1
18,342.97,1,5.1,7,Georgia,72.32,1
22,101.61,1,3.03,7,Timor-Leste,72.03,1
15,275.53,1,3.53,8,Palestinian Territory,70.17,1
12,424.83,1,2.53,8,Bangladesh,69.99,1
15,249.09,1,3.39,9,Northern Mariana Islands,70.77,1
32,242.48,0,4.24,8,Zimbabwe,67.93,1
23,514.54,0,3.18,8,Isle of Man,68.56,1
9,284.77,0,3.12,9,Sao Tome and Principe,70.82,1
27,779.25,1,2.37,8,Greece,72.73,1
12,307.31,1,3.22,7,Solomon Islands,67.95,1
21,355.94,1,2,7,Guinea-Bissau,72,1
10,372.65,0,3.33,7,Burkina Faso,69.19,1
20,347.23,1,2.33,7,Mongolia,70.41,1
22,456.57,0,1.52,8,Nigeria,69.35,1
25,582.03,0,3.29,7,Kazakhstan,69.85,1
19,67.17,0,3.25,7,Faroe Islands,69.73,1
16,410.08,1,3.07,8,Lebanon,68.49,1
18,393.15,0,2.25,8,Guyana,70.87,1
34,11.04,0,2.31,8,Botswana,72,1
30,309.84,0,3.8,9,Zambia,70.98,1
20,415.39,1,3.47,7,Mexico,69.98,1
23,537.94,1,2.96,7,Mongolia,68.74,1
21,206.31,0,2.75,8,Gibraltar,68.82,1
20,192.85,1,2.21,8,Bhutan,73.1,1
28,311.81,0,2.05,8,Mayotte,69.29,1
19,429.56,1,2.95,8,Guernsey,68.94,1
19,472.38,0,1.54,8,Saint Barthelemy,70.82,1
26,607.31,0,1.55,7,Cambodia,72.2,1
18,566.97,1,2.82,7,Tuvalu,71.37,1
33,364.88,0,3.52,7,Philippines,74.24,1
21,169.89,0,4.78,9,Armenia,67.93,1
20,287.06,1,1.71,8,Nicaragua,71.75,1
29,225.58,0,3.4,8,Mauritania,71.25,1
16,522.88,1,3.71,8,Algeria,72.74,1
21,337.15,1,3.9,8,Azerbaijan,71.47,1
15,275.09,0,2.5,9,Algeria,72.95,1
20,60.16,0,3.81,8,Sri Lanka,69.97,1
23,358.54,1,2.25,8,Nauru,73.1,1
8,231.64,0,2.97,8,Palestinian Territory,67.08,1
22,274.24,1,2.1,8,Heard Island and McDonald Islands,68.81,1
29,372.86,0,1.77,8,Mauritania,70.63,1
20,710.55,0,3.71,8,Christmas Island,70.37,1
16,89.49,1,1.8,8,Holy See (Vatican City State),74.92,1
11,447.05,0,2.67,7,Haiti,69.95,1
15,628.38,1,2.9,8,Japan,71.81,1
9,430.16,0,3.41,9,Syrian Arab Republic,72.26,1
2,343.1,1,2.74,8,Albania,70.64,1
13,416.9,1,2.76,8,United States Virgin Islands,71.63,1
9,549.52,1,5.11,9,Guernsey,70.4,1
25,369,0,3.05,7,Israel,70.68,1
22,184.63,0,3.45,8,Czech Republic,68.27,1
7,10,1,3.71,8,Sri Lanka,70.09,1
21,270.53,0,4.2,8,Bhutan,70.28,1
18,385.3,0,3.3,9,Malaysia,68.36,1
4,295.79,0,2.75,8,Maldives,73.15,1
15,322.91,0,2.72,7,Norway,69.02,1
16,316.42,0,3.39,9,South Africa,70.89,1
12,538.03,1,3.03,8,Afghanistan,71.55,1
13,252.2,1,3.54,8,Australia,67.69,1
9,281.56,1,2.04,9,Saint Kitts and Nevis,71.7,1
14,110.81,0,3.1,8,Jamaica,70.93,1
26,361.16,0,3.62,8,Tajikistan,69.49,1
28,179.55,1,2.4,8,Azerbaijan,70.57,1
17,499.16,1,3.75,6,Moldova,69.75,1
10,273.77,1,2.64,7,Lebanon,71.15,1
21,52.79,0,2.13,7,Equatorial Guinea,69.21,1
19,354.24,0,3.4,6,Turkey,70.26,1
18,635.81,0,3.43,7,Slovenia,74.01,1
12,428.8,1,2.22,7,Congo,72.65,1
30,366.5,1,2.81,8,Brunei Darussalam,71.25,1
8,365.62,0,1.56,7,South Georgia and the South Sandwich Islands,69.22,1
18,373.36,0,3.92,7,Holy See (Vatican City State),72.95,1
24,534.74,1,3.25,8,Iran,72.19,1
8,64.83,0,3.58,8,Saudi Arabia,70.21,1
26,354.77,0,3.26,8,Netherlands Antilles,71.43,1
11,508.87,1,2.56,8,Botswana,71.15,1
14,331.49,1,2.35,9,Zambia,70.23,1
22,404.57,0,1.82,8,Bouvet Island (Bouvetoya),69.74,1
13,518.68,1,2.87,7,Netherlands,72.01,1
22,494.63,1,2.4,8,Belarus,71.02,1
19,104.67,1,1.34,9,Cyprus,70.44,1
22,106.26,1,2.81,8,Netherlands Antilles,69.51,1
13,91.86,1,5.07,8,Yemen,69.43,1
14,257.35,0,2.17,7,Uzbekistan,68.71,1
4,459.64,0,3.09,7,Ecuador,69.27,1
20,651.24,0,1.13,8,Saint Barthelemy,68.84,1
30,23.3,0,3.54,7,Sao Tome and Principe,68.75,1
14,499.13,0,4.6,8,Haiti,72.04,1
18,39.13,0,2,9,Romania,71.28,1
34,320.47,0,3.76,8,Montenegro,70.67,1
4,458.36,0,1.25,8,Czech Republic,70.8,1
22,613.04,1,3.77,8,Niue,71.02,1
21,445.02,1,3.9,8,Saint Pierre and Miquelon,72.83,1
17,623.48,1,3.37,8,Mayotte,71.96,1
19,253.39,0,2.66,8,Saint Vincent and the Grenadines,75,1
27,664.85,1,3.74,7,Kyrgyz Republic,70.24,1
13,84.83,0,2.13,9,South Africa,71.89,1
14,526.84,1,4.14,8,Japan,72.18,1
22,468.35,1,4.11,7,New Zealand,70.28,1
20,271.97,1,3.38,8,United States Virgin Islands,73.17,1
13,449.15,1,3.33,7,Central African Republic,69.41,1
10,256.61,0,4.26,7,Belize,70.09,1
17,504.41,1,3.23,9,Seychelles,72.23,1
17,408.08,0,4.52,8,Sri Lanka,69.52,1
30,251.69,0,3.87,7,United States Minor Outlying Islands,68.24,1
18,345.83,0,5.32,8,Dominican Republic,72.16,1
12,345.41,1,3.53,9,Portugal,69.84,1
26,339.11,0,2.1,7,Trinidad and Tobago,72.09,1
8,857.01,0,1,7,Western Sahara,69.53,1
15,510.61,1,1.61,8,Grenada,70.63,1
11,449.09,0,4.22,7,Saint Lucia,69.09,1
28,336.36,1,3.06,8,Faroe Islands,69.13,1
14,640.86,0,4.1,8,Ethiopia,70.01,1
20,429.64,0,2.47,8,Sweden,71.75,1
22,348.41,0,2.3,9,Uruguay,68.37,1
8,752.49,0,4.11,9,Tokelau,70.41,1
12,517.46,1,3.24,7,Tanzania,74.17,1
25,456.28,1,4.07,8,Serbia,71.51,1
18,200.83,0,4.66,8,Ukraine,70.56,1
13,379.95,1,1.44,8,Turks and Caicos Islands,69.61,1
18,512.83,1,3.31,9,Slovakia (Slovak Republic),71,1
32,340.49,1,3.82,8,Switzerland,70.86,1
18,118.03,1,3.21,7,Australia,73.79,1
15,447.83,0,2.6,8,United States Virgin Islands,71.24,1
8,372.05,0,3.13,8,Antigua and Barbuda,69.18,1
6,370.45,1,2.72,8,Philippines,68.33,1
7,178.56,0,4.18,8,Sweden,72.42,1
14,366.49,0,2.56,9,China,70.16,1
10,401.85,0,3.93,8,New Caledonia,68.73,1
13,485.85,0,5.25,8,Luxembourg,69.13,1
19,868.5,1,3.7,8,Malawi,73.46,1
6,567.16,1,5.05,8,Hungary,69.04,1
18,419.12,0,4.11,8,Palestinian Territory,70.98,1
20,288.32,1,2.71,8,Greece,70.31,1
15,422.47,1,3.01,8,Benin,71.3,1
15,548.83,1,3.78,7,Bahamas,68.53,1
24,334.41,0,4.27,7,Ethiopia,69.94,1
16,300.7,0,2.94,8,Kyrgyz Republic,69.47,1
17,334.8,1,2.51,8,Netherlands,73.38,1
5,378.46,1,5.17,8,Samoa,72.32,1
15,392.11,0,4.54,8,Kuwait,67.32,1
31,600.84,1,4.52,8,Austria,70.63,1
27,474.87,0,2.12,7,Saint Barthelemy,69.44,1
19,724.8,0,2.82,8,Turkmenistan,71.72,1
27,171.73,1,2.07,8,Bouvet Island (Bouvetoya),70.97,1
18,374.74,1,4.92,7,Denmark,69.45,1
16,725.51,0,2.07,8,Kenya,70.57,1
12,75.53,0,3.73,8,Wallis and Futuna,69.77,1
21,202.83,1,2.6,8,Bhutan,67.95,1
34,392.47,0,2.31,8,Reunion,72.16,1
23,499.24,1,3.76,8,Cook Islands,72.45,1
21,701.52,0,2.95,8,Saint Lucia,68.92,1
11,125.69,1,2.33,7,Ukraine,69.3,1
13,218.71,0,3.2,7,Niue,67.31,1
22,623.58,1,3.53,7,Morocco,70.59,1
12,393.84,1,2.57,7,Cook Islands,72.17,1
19,449.53,1,4.93,7,Lao People's Democratic Republic,69.79,1
17,602.46,1,4.87,9,Sudan,70.26,1
17,272.34,0,3.83,9,Norway,70.07,1
18,181.78,0,2.76,9,Cambodia,72.51,1
21,434.82,1,2.43,8,Thailand,72.04,1
46,479.77,1,7.58,14,Liechtenstein,45.91,0
35,871.76,1,7.38,15,Mauritania,45.08,0
42,797.74,0,7.58,14,Russian Federation,46.24,0
36,793.45,0,7.18,13,Macedonia,45.9,0
41,832.71,1,9.22,14,Belize,42.43,0
41,766.67,0,6.73,14,Svalbard & Jan Mayen Islands,44.71,0
47,592.93,1,6.65,13,United States Virgin Islands,47.15,0
37,841.34,0,5.9,13,Isle of Man,45.57,0
38,984.63,1,6.88,14,Zimbabwe,43.34,0
